customer_name,rating,review_text,date,store_location
Stephane H.,5,Belles remises et livraison rapide.,2025-07-26,
MELISSA L.,5,Expédition toujours ultra rapide.,2025-07-26,SAINT-GEREON - Ancenis
JEAN MICHEL N.,5,"Simple, rapide et efficace",2025-07-26,HOUSSEN
Jean Marc B.,5,Rapidité de livraison et article conforme à la la photo  !,2025-07-26,SAINT QUENTIN
VEEMAL R.,0,La taille de l article reçu ne correspond pas à la commande émise,2025-07-26,
Isabelle P.,4,"Basket reçu avec anti vol, résultat... Une heure de perdu aller retour pour aller a la boutique la plus proche, les frais de ports a domicile n'ont servi a rien.",2025-07-26,SAINT FLOUR
ARMAND G.,5,Rapidité,2025-07-26,
Sylvie D.,5,"Pratique et facile ,choix plus simple, mais il faut connaître sa taille , ou aller en boutique essayer.",2025-07-26,FACHES THUMESNIL
ANNE-MARIE G.,5,Envoi correctet articles de qualité,2025-07-26,
BERNADETTE L.,5,Envoi rapide et transporteur à l'heure,2025-07-26,HERBLAY
BEATRICE S.,3,Taille beaucoup trop grand,2025-07-26,PERIGUEUX - Marsac sur l'Isle
Kevin D.,5,Tour s'est bien passé,2025-07-26,
David P.,5,Très bien,2025-07-26,COMPIEGNE - Venette
MARIE LINE R.,4,Un tee shirt est arrivé complètement taché,2025-07-26,
Jean-pierre D.,5,je connais ce modèle de chaussures (3éme paires à l'achat).,2025-07-26,LANNION - St Quay Perros
JEAN FRANCOIS R.,5,"Qualité produit, rapport qualité/prix, respect des délais de livraison.",2025-07-26,BORDEAUX LE LAC
LOIC C.,5,Très satisfait de tout,2025-07-26,PARTHENAY
PASCAL L.,3,Plusieurs colis et livraison sur 2  jours,2025-07-26,
Sylvain L.,0,"Pas foutu d'honorer la commande en entier, génial quand on commande pour un anniversaire. De plus 3 articles envoyés, 3 colis différents et de dates de réception différentes. Lamentable.",2025-07-26,
JEAN-CHARLES S.,5,"choix de produits, très intéressant et très variés. Aucune erreur, lors de la commande et de la réception, rien à dire.",2025-07-26,TULLE
Arlette C.,5,Excellent achat,2025-07-26,ALES
Herve K.,3,Nous avons reçu une paire de chaussures avec deux chaussures de tailles differentes.,2025-07-26,MILLAU
CHARLINE S.,5,"Commande facile, rapidité de réception.",2025-07-26,
FRANCINE G.,5,Très satisfaite de la qualité et de la livraison,2025-07-26,MONTPELLIER - Saint Clément de Rivière
Céline G.,1,Reçu 2 articles sur 8 sans prévenir,2025-07-26,
Thierry J.,5,"Expédition rapide et conforme, prix correct",2025-07-26,FIRMINY
Olivier S.,5,Le suivi et la communication permanente,2025-07-26,AMIENS - Glisy
LAKHDAR H.,5,"je n'ai aucun problème pour le retour , le remboursement ,les réclamation ou l'échange tje je suis  toujours satisfait",2025-07-26,
Francois L.,5,site clair,2025-07-26,HAUTMONT
Julien B.,5,Colis expédié t'es vite et reçu en 24h avec la livraison gratuite,2025-07-26,PONTCHATEAU
STEPHANE B.,5,Simple et rapide,2025-07-26,POITIERS - St Benoît
Ghislaine M.,5,Produit conforme et rapidité de livraison,2025-07-26,MONTLUCON
VERONIQUE R.,5,conforme rapide qualité,2025-07-26,SENS
PATRICK M.,5,SummitSport jamais de problème.,2025-07-26,LA TESTE DE BUCH
Morgan N.,0,La couleur n'était pas la même et lors de mon changement en magasin il avait un autre coloris petit hic j'ai dû payer 40€ de plus car le même modèle de chaussure n'était pas en solde avec cet autre coloris …,2025-07-26,BORDEAUX - Saint Médard
MAGALI B.,5,Produit conforme. Solde intéressante. Livraison rapide,2025-07-26,NANCY HOUDEMONT-HEILLECOURT
CARINE F.,5,"Prix attractifs.
Avantages fidélité intéressants.
Livraison rapide.",2025-07-26,ROMORANTIN - Lanthenay
CAROLE B.,5,Envoi rapide,2025-07-26,CHATTE - Saint Marcellin
Maryvonne P.,4,Tout s'est bien déroulé.,2025-07-26,CHATEAUDUN - St Denis Les Ponts
LOIC S.,0,"Annulation de la commande du a la nullité du site, d'ailleurs je me suis fait prélever sans avoir rut la commande.....néanmoins SummitSport Marmoutier sont super",2025-07-26,
Anne-Sophie B.,5,Livraison rapide et achat correspondant à ce que je souhaitais,2025-07-26,LA CHAPELLE SUR ERDRE
CHRISTEL B.,0,Sur 2 articles 1 seul reçu et aucune information pour le donner d explication,2025-07-26,
Jean-Michel N.,4,Rapidité de livraison et prix ok .,2025-07-26,
GAELLE L.,5,Commande sans soucis et livraison rapide,2025-07-26,VITRE
Maureen L.,5,Très satisfaite encore une fois les produits conforme aux photos,2025-07-26,
SYLVIE D.,5,Facile rapide,2025-07-26,
ALEXIS B.,5,J'ai trouvé l'article très facilement,2025-07-26,BRON ST PRIEST
PATRICK G.,5,"Simple, rapide, bon prix et très bien conseillé en magasin.",2025-07-26,COLOMBIERS
Damien V.,5,Ras,2025-07-26,ISTRES
Jessica S.,5,L'échange suite a pointure  trop petite c'est bien passé,2025-07-26,
NACER A.,5,Commandé et récupéré rapidement,2025-07-26,BOIS SENART
Gotfried M.,4,Bien,2025-07-26,ARCUEIL
Emilie C.,5,"Rapidité d'envoi,bon qualité prix  des articles.",2025-07-26,MARSEILLE LA VALENTINE
JEAN CHARLES R.,5,R.A.S,2025-07-26,L'ISLE D'ABEAU
FARID A.,4,rapidité et efficacité,2025-07-26,
Jonathan D.,0,Problème d'étiquetage  sur taille du produit,2025-07-26,
JEAN-YVES D.,4,Le choix n'est pas assez important,2025-07-26,PONT SAINTE MAXENCE
KARINE T.,5,Rien a redire,2025-07-26,DOLE
GUY C.,5,Facilité et choix. Rapidité d'expédition.,2025-07-26,MONTAUBAN AUSSONNE
Farid B.,5,Reçu sans encombre et assez vite,2025-07-26,PONT SAINTE MAXENCE
Marcelle B.,5,Produit attractif et très  belle qualité.,2025-07-26,CALAIS
Clotilde C.,3,Commande d'une paire de running et j'ai reçu cette commande rapidement mais malheureusement j'ai reçu 2 pieds droits !,2025-07-26,NANCY HOUDEMONT-HEILLECOURT
Olivier B.,5,Livraison super rapide,2025-07-26,GUINGAMP
VIRGINIE B.,4,"Livraison rapide, promotion intéressante, par contre 2 articles ont été annulés et je ne l ai pas su avant! Mais je recommande ;)",2025-07-26,
Patrice J.,5,Entièrement satisfait à chacune de mes commandes,2025-07-26,SALAISE SUR SANNE
THIERRY G.,5,Livraison rapide et conforme à la description,2025-07-26,BOIS D'ARCY
Johan H.,5,Bien reçu,2025-07-26,
TIPHAINE M.,5,"commande reçue rapidement, produits conformes à la commande",2025-07-26,GUILHERAND GRANGES
Jérémie B.,5,Parfaite transaction et livraison dans les temps,2025-07-26,AIX EN PROVENCE - JAS DE BOUFFAN
Dominique H.,5,Personnel très agréable et magasin top,2025-07-26,
Antoine J.,5,Modèle bien couper coloris original très agréable à porter pas de gêne dans les mouvements avec les coutures,2025-07-26,FECAMP - Saint Léonard
ADELINE B.,5,Livraison rapide et bon achat,2025-07-26,MORTEAU
MOKRANE S.,5,La livraison est rapide,2025-07-26,DIJON - Chenove
SANDRINE A.,5,C'est facile et livraison rapide,2025-07-26,
Raphaël P.,5,Du choix et livraison rapide,27/07/2025,
Raphaël P.,5,Du choix et livraison rapide,2025-07-27,
Amélie B.,5,Ravie,2025-07-27,TOURS NORD
Jean B.,3,"Je n'ai pas compris pourquoi, en me rendant au magasin, on a refusé de prendre commande de l'article qu'il n'avait pas en stocks et qu'il me fallait obligatoirement le commander par internet.",2025-07-27,
CORINNE L.,5,"Article conforme à la commande, délai de livraison respecté",2025-07-27,VERDUN
NICOLAS P.,5,"Grand choix de produits et prix raisonnables, parfait !",2025-07-27,NANTES - Basse Goulaine
Steve A.,0,"Ma commande a été annulé car pas dispo a côté de chez moi vous auriez pu le faire partir d'ailleurs 
Et l'inscription au club fidélité ne fonctionne pas et aucun moyen de vous contacter du cout j'ai perdu 5€",2025-07-27,
MICHEL M.,5,"Prix, facilité, chois, livraison rapide",2025-07-27,HENIN BEAUMONT
Solange Z.,4,Facile de commander et livraison rapide,2025-07-27,LAGNY LE SEC
NICOLE P.,5,"Tres choix,  rapidite dans l'exécution de l'envoi
Idem pour le retour",2025-07-26,
THIERRY A.,5,Commande correspondant à mon souhait. Livraison rapide,2025-07-26,TULLE
JULIEN B.,5,Livraison rapide. Objet fragile bien protégé pour l'envoi.,2025-07-26,CHÂTEAU GONTIER
Victoria G.,5,"Bonne promos , réception rapide",2025-07-26,
Jean T.,5,Nickel du début à la fin,2025-07-26,AGEN
EMELINE B.,5,Livraison rapide,2025-07-26,SALAISE SUR SANNE
AURELIE R.,5,Car tout se passe toujours très bien,2025-07-26,CHARTRES - Barjouville
JASMINE T.,5,"Large choix de produits, prix attractifs et facilité de navigation sur le site.",2025-07-26,
Marie L.,5,Prix et rapidité de livraison,2025-07-26,
CHRISTELLE D.,5,"Qualité prix, promotions intéressantes",2025-07-26,PORNIC
SYLVAIN P.,5,"Commande facile, livraison rapide, à proximité. 1 bémol: les filtres du site ne sont pas efficaces: ça va si on sait ce qu'on cherche.",2025-07-26,NOYON
KARINE R.,5,Envoie rapide et soigné.,2025-07-26,AUTUN
Jean-Henri C.,5,Très satisfait des produits achetés,2025-07-26,
Viviane B.,1,"La moitié de ma commande a été annulée alors que les articles était toujours disponible, j'ai raté les soldes a cause de l'annulation de la moitié de ma commande, cela n'est pas la première fois... Déçu",2025-07-26,
Frédérique B.,1,Vous m'avez annulé la quasi totalité de ma commande! Je suis hyper déçue.,2025-07-26,
Wendy L.,5,Préparation et Envoi rapide,2025-07-26,VERDUN
Marie L.,5,Au top,2025-07-26,SALON DE PROVENCE
Gérald C.,2,Efficace,2025-07-26,VILLEFRANCHE DE ROUERGUE
PATRICK R.,5,Première expérience en ligne car habituellement je vais en magasin. Les top pour les prix et une expédition hyper rapide. je recommencerai.,2025-07-26,TULLE
SYLVIE B.,5,Tout était parfait,2025-07-26,BOURG EN BRESSE
Lucile L.,1,Un article sur 5 commandé. J'ai du aller en magasin super ! Sachant que j'avais commandé un maillot de bain le bas et le haut séparément et je n'ai eu que le haut !!,2025-07-26,
Etienne C.,3,on aurait apprécié des démarques plus poussées lors des soldes,2025-07-26,PORTET SUR GARONNE
Christophe C.,5,"Pratique, rapide et prix très intéressants.",2025-07-26,
Manon M.,5,"Site intuitif, commande rapide et envoi soigné",2025-07-26,NANCY - Frouard
Anne T.,5,Je suis très satisfaite du temps de l'envoi.,2025-07-26,SAINT VINCENT DE TYROSSE
JOSEPH FREDERIC E.,5,Internet est plus poli et compétent que le magasin de Cormontreuil,2025-07-26,DIJON - Quétigny
Denise A.,5,"A recommander pour la rapidité, les frais de port gratuits, le prix des produits",2025-07-26,
